time,IOD_index,DMI_detrend
1870,0.4815604245724418,-0.16149351334641437
1871,-0.49414386590292586,0.07485226199358408
1872,0.7982383294845083,0.20937666501544072
1873,-0.0659319590455235,-0.05286463533070673
1874,-1.6557272926004982,-0.3974421621877582
1875,-0.08938877389381167,-0.20400804317927168
1876,-0.928223031020319,0.22967491796146078
1877,2.761614851830798,0.9612440476537927
1878,1.0059860550461914,0.03827514750861383
1879,-0.9907216548701446,-0.2413531892676417
1880,0.2462427872534907,-0.14672213055169436
1881,1.2427703600213538,0.0779058965649142
1882,0.1309263581442818,-0.02603356074490648
1883,-0.39504920063025056,0.06571939260518889
1884,1.0570799482538489,0.03558162035469081
1885,0.7613644493680899,0.1355271184425817
1886,-1.1602547660992943,-0.3736135598827559
1887,-0.7416427083361262,0.12900980756396052
1888,1.0364674833925451,-0.02889188062414405
1889,-1.149756402819875,-0.45547515277093
1890,-2.9890179207745935,-0.5498924181618179
1891,0.36900313046486904,0.3919031239358617
1892,-1.438866698265393,-0.3294636045599759
1893,-0.6339840751374288,-0.16743885778345202
1894,-1.0149915250045316,0.17728415926637808
1895,0.9356831221015814,0.16889766333974876
1896,1.3092448334332716,0.6061720965760742
1897,0.6038630698184605,-0.37504209612288264
1898,-0.47308122530011876,-0.30813848171959535
1899,-0.44138396474680264,-0.09275848463144598
1900,0.5474852956561082,0.12653730848043665
1901,-1.3932057770406716,-0.32868651368812607
1902,0.6255351963144122,0.4728512839318171
1903,-0.9857829670249165,-0.27787231013553537
1904,-0.20825146245334047,0.09479765931814654
1905,0.6554850428067382,0.21188281322218927
1906,-1.2162785966403518,-0.6260267430687634
1907,-0.19183112335472988,0.0956145279766929
1908,-0.19467124368542274,0.08483979318438628
1909,-0.5217683247079001,-0.16534745240809912
1910,-1.5956259696239123,-0.3911502907067188
1911,-0.13152139915134897,0.0220467112066558
1912,-0.1518278933239738,-0.1879667859757319
1913,0.0955271561957871,0.2075847543875966
1914,1.834645434587804,0.21188040004238928
1915,1.2713944575443745,0.1889325069048482
1916,-1.1174885148924751,-0.4815776442108586
1917,-0.5147393463279669,-0.43387205879864155
1918,1.619341836959107,0.6086047892116824
1919,0.28143573878546674,0.1888600780522438
1920,-0.27376616720697255,-0.04648688167435466
1921,0.016188229997002212,-0.015491376599214846
1922,-0.21695466269764707,-0.0372605797329868
1923,0.9902285619875235,0.8099701360233951
1924,-0.3697625028727136,0.0740910016832288
1925,1.2808306434838632,0.668604397498342
1926,1.083171481767725,0.1498607884013552
1927,0.23692884706114328,-0.03415733647628372
1928,0.18062923994013083,-0.12268412565924791
1929,0.2745005977626958,0.14696193441142213
1930,0.8868398310332761,0.1210718144226064
1931,0.30805579507953657,-0.14189317574937377
1932,-0.09779125195620778,-0.030128726337778744
1933,-0.864953904992692,-0.5851417778416419
1934,0.42198014079377255,0.12517035180806602
1935,0.41394466216315595,0.32597962536425484
1936,1.209310978002907,0.046555892708482816
1937,1.7410044456921885,0.29771542805150375
1938,0.4531468480417683,-0.13924886816357684
1939,0.4435137021958928,0.19794243558513358
1940,1.5510175110957982,0.02469480347005515
1941,2.203915017384235,0.34386368540603485
1942,-0.16600773397719296,-0.2898739537278914
1943,0.9596499359559795,-0.0935302585568536
1944,1.5939034467063382,0.1406383299518268
1945,-0.05018438216939653,-0.04937391892028131
1946,0.12076966954668877,0.3438298530123802
1947,-1.9647202869484914,-0.2663485605616529
1948,-0.5308007096072734,-0.04738262484656275
1949,0.009541361790294446,0.2016508049748893
1950,-1.2250475455853862,-0.0828081906929583
1951,1.1185657447692299,0.3740711765238416
1952,-0.8408167593116076,-0.03501221681489142
1953,0.08690880205028058,0.1655160481930693
1954,-2.1972439175822425,-0.2839735909493015
1955,-1.1793760053561868,-0.18090251511952715
1956,-1.2252578872716458,-0.28304398210957515
1957,-0.2096757173762629,-0.093535431408867
1958,-0.20014627554987852,-0.6179413738396704
1959,-0.334750596683862,-0.3195618438057579
1960,-0.7947616459236435,-0.4079121595816275
1961,0.15088281193862854,0.8311831713577362
1962,0.1797366928498748,0.08252741136536201
1963,0.6709868995607149,0.5990533920862049
1964,-2.1276712873884778,-0.4434879603426509
1965,-0.2712653265820371,0.18981998148572643
1966,-0.5370761381008967,0.13509944428648168
1967,-0.003021814964227088,0.42584075804046506
1968,-0.5257427853249748,-0.26300136486136694
1969,0.6206838960829936,0.15328531270054668
1970,-0.516679382601964,-0.22668836108533696
1971,-1.157645911536422,-0.17479581563659963
1972,2.5699257568639493,0.7514349449965039
1973,0.021530922794703318,-0.1832115642820611
1974,-1.4161263973775726,-0.40295791711025686
1975,-2.0899489986391915,-0.4859366534755907
1976,-0.9399621210973097,0.046331053204397676
1977,0.7001124911642245,0.16536912114105462
1978,-1.2385251884703632,-0.16104673228790034
1979,-0.2649122813820574,-0.025899905668950396
1980,0.2331163523950071,-0.3804660121610368
1981,-0.9058319526088533,-0.3403060043382595
1982,1.0518482691858853,0.6512771027163922
1983,1.1169431651166948,-0.03966854868315295
1984,-1.015299799055277,-0.36841628874850585
1985,-0.6511620907941401,-0.03647748563520281
1986,0.09964497987408376,0.019630189906166606
1987,2.5681066032067372,0.3581450504777024
1988,0.5519409157536832,-0.21957783255487584
1989,0.6107859179306099,-0.14941126449630815
1990,0.5751089036581629,-0.0465434723817566
1991,0.18410604175192238,0.16709974666170524
1992,-0.6893224411268347,-0.5053661945869408
1993,-0.13632808384516548,-0.053484085884832666
1994,-0.0833913092570937,0.6432711497533603
1995,-0.08146954101950483,-0.19013270435533514
1996,-1.578697523528554,-0.773381636711747
1997,1.3694513407470197,1.0986541865761694
1998,0.102889695886195,-0.5333106334367983
1999,-0.5132045676110478,-0.0454531990779401
2000,-0.10574923084843851,-0.12162111652943963
2001,-0.03393544292485587,-0.2503118609534454
2002,0.9032944800680199,0.3117035079432924
2003,0.19691252803546894,-0.1193826641455189
2004,0.048326583317985936,-0.06833472690405529
2005,-0.7079764408594594,-0.3990681535550209
2006,0.4907480216553082,0.5098982956972691
2007,-0.6116034061547014,0.07776064538995797
2008,0.13770935619395167,-0.018530441148868704
2009,0.7451823903034064,-0.09361080695776991
2010,-0.8479452513426902,-0.43865050522074966
2011,0.5206554371883392,0.25206335021692894
2012,0.5975771681824237,0.1104909352865775
2013,-0.3836460432035108,-0.16207311179528006
2014,0.30667850871755997,-0.0945790203157344
2015,2.402334945712315,0.2787068123682559
2016,-0.9299919158192789,-0.4816282113102659
2017,-0.13675288646101988,0.005002588673647779
2018,0.10503192022597745,0.4853839328897891
2019,0.7740472883581075,0.7639305593078802
2020,-0.40241603413794597,-0.17821486215601112
2021,-1.0020993423716804,-0.16271013813678792
2022,-1.820172346653555,-0.5947794056425835
2023,1.4910077777761443,0.7523340049075671
